"comentario";"depressao"
"17:12 meus amores amo vcs, e nao quero nem causar longe de mim, mas viu como tem preconceito com algumas pessoas bonitas? a globo contrato justamente como vcs falaram, um bonitao pra fazer um gostosao bobao que a tiazona pega, e tem muito ator como o caua reimond por exemplp, que hj em dia e valorizado pelo ator que ele e, mas antes so fazia papel de gostosao bobao. enfim, o ex peguete da cleo pires tem um pouco de razao";"n"
"sinto todos esses sinais, mas luto contra elas mesmo sem vontade das coisas.. poder ser depressao mesmo assim? nao quero ir mais pra faculdade, nao tenho vontade de sair so quero ficar sozinha. mas arrumo a casa faco almoco e janta mesmo sem vontade pq tenho familia.. uma crianca pequena e marido.. luto sozinha contra a tristeza mas e dificil.. nao tenho apoio..pos acham que nao tenho nada e e frescura   nem no medico tenho vontade de ir";"s"
"to vivendo tudo isso, nao consigo me aceita, minha auto estima esta la em baixo, nao me sinto amada, faco tudo por que tem que ser feito, faco coisas e nem sei como , to pensando em ir ao medico mais com um pouco de medo, e to comecando a ter crise de choro, to me sentindo literalmente uma merda, mais nao consigo desabafa com ninguem, tenho guardado isso apenas pars mim, e agora minha cabeca ta uma explosao de pensamentos, so precisava de um pouco de paz";"s"
"eu atualmente trabalho na prefeitura da minha cidade, e pelo fato de ser um garoto retraido socialmente acabo fazendo amizade com pessoas mais velhas, entao, sou amigo de muitos professores e professoras e profissionais da educacao em geral e como convivo com esse mal, que e a depressao, a cerca de 8 anos e so agora consegui ajuda eu peco a permissao de voces para passar isso nas escolas da minha cidade. umuarama, pr";"s"
"luba, eu sei que provavelmente vc nem vai ver isso mas eu queria pedir ajuda, eu nao pretendo falar com os meus pais sobre isso, mas eu tenho depressao, eu fui uma vez no psicologo e ele ja disse que tinha altas chances de eu ser depressiva.  eu pensei em falar com algum amigo meu, mas a minha melhor amiga  falou que e pra eu parar de querer chamar atencao da ultima vez que falei que podia ter ansiedade ou depressao, e meus outros amigos tambem nao iriam me ajudar, como meus pais sao separados e tem coisas muito mais importantes pra organizar agora eu nao quero por mais preocupacao na cabeca deles, oq eu faco? ja to a 3 anos pensando nisso.";"s"
"depressao e muito serio sim, eu estou e so que tem sabe como e. as pessoas nao entendem so porque voce nao vive chorando na frente delas e porque nao tem nada. quer dizer para ter depressao agora voce tem que estar sempre chorando? eu estou em tratamento ha 1 ano e ainda nao estou bem, estive perto da fase 3, de suicidio e foi so com a ajuda da minha familia que eu melhorei, mas nao estou curada e ainda tomo remedios. so quem tem entende quem tem e o jim carrey nao estava de gozacao naquele video para a emma stone, a pessoa com depressao nao entende o que se passa na cabeca dela e por que as coisas acontecem e acabam tirando conclusoes distorcidas e muitas vezes irreais e por isso vai para o suicidio... enfim nao sou medica so disse a minha opniao de como eu vejo a depressao porque eu tenho.....";"s"
"gente, isso e incrivel! tenho 36 anos e estou usando a conta da minha filha pra comentar essa terapia. ha 3 anos eu sofria de uma pequena depressao associada a crises de ansiedade e panico, estou fazendo o uso do tratamento ha 3 dias, estou muuuuito melhor! e incrivel mesmo! nunca quis me tratar com medicamentos pq acho muito pesado os efeitos colaterais de drogas anti-depressivas consequentemente meu estado estava piorando, mas depois deste som milagroso a melhora e fantastica! deus os abencoe!! gostaria de saber por quanto tempo devo continuar o tratamento?";"n"
"mamae, a minha depressao e meta morfa. um dia e pequena como um vaga-lume na palma de um urso, no proximo dia, e o urso. nessas dias, eu finjo de morta ate que o urso me deixe em paz. eu chamo os dias ruins de dias sombrios. mamae diz: tente acender velas quando eu vejo uma vela, eu vejo o lampejo de uma igreja. a cintilacao das chamas, faiscas de uma memoria mais nova que o meio dia. eu estou ao lado de seu caixao aberto, e o momento que eu aprendo, que todo pessoa que eu conhecerei, algum dia morrera. alem disso, mamae, nao tenho medo do escuro. talvez isso seja parte do problema. mamae diz: eu pensei que o problema fosse que voce nao consegue sair da cama nao consigo. a ansiedade me mantem refem dentro de minha casa, dentro de minha cabeca. mamae diz de onde veio a ansiedade? a ansiedade e o primo visitando de outra cidade, a depressao se sente obrigada a trazer para festa. mamae, eu sou a festa! so que eu sou uma festa na qual eu nao quero estar! mamae diz: porque voce nao tenta ir a festas de verdade? ver seus amigos  claro, eu faco planos, eu faco planos mas nao quero ir. faco planos porque sei que eu deveria querer ir, so que nao e muito divertido se divertir quando voce nao quer se divertir, mamae. sabe mamae, cada noite a insonia me pega em seus bracos, me mergulha na cozinha, no pequeno brilho da luz do fogao. a insonia tem esse jeito romantico de fazer a lua parecer a companhia perfeita. mamae diz: tente contar ovelhas mas minha mente so consegue contar motivos para ficar acordada. entao, eu saio para caminhar mas minhas rotulas balbuciantes tinindo como colheres de prata seguradas por bracos fortes em pulsos soltos, elas soam no meu ouvido como desajeitados sinos de igreja, me lembrando que sou sonambula, em um oceano de felicidade, no qual eu nao consigo me batizar. mamae diz: felicidade e uma decisao mas minha felicidade e tao vazia, quanto um ovo picado, minha felicidade e uma febre que vai ceder. mamae diz que sou muito boa em criar algo do nada, e entao abruptamente me pergunta se tenho medo de morrer. nao! eu tenho medo de viver! mamae eu sou sozinha. (...) mamae continua nao entendendo. mamae, voce nao consegue ver? que eu nao consigo tambem.  completo aqui> https://www.youtube.com/watch?v=uyujwmswqei";"s"
"tenho depressao,estou tomando coragem pra por fim na minha vida ,nao aguento mais viver infeliz ,ja sao 8 anos vivendo cm esse inferno,cm crises de ansiedade,sindrome do panico,tenho tudo isso,desisti dos estudos pois nao conseguia me concentrar em nada , reprovei duas vezes por conta disso ,perdi a vontade de viver,n tenho amigos e minha familia nao se importa cmg .";"s"
"por que sera que comeco a ouvir e  me sinto mal? ja no primeiro minuto tenho vontade de parar urgentemente! sinto uma leve tontura e perturba demais minha tranquilidade. acho estranho ver que as pessoas gostam e eu passo por isso. e irritante. ja ouvi em outros canais tb e e a mesma sensacao. (tenho uma dor de cabeca ha anos, e antes de ela comecar tenho uma sensacao parecida). gostaria de saber de alguem que entende sobre isso se posso insistir em ouvir ou se de fato toda vez vou ficar mal. eu nao gostaria de ser cobaia pq realmente e irritante ouvir esse som.";"n"
"ha ansiedade  e a depressao  e bem parecido  com um espirito  mal eu ja tive depressao  cinco vezes mais  ate o momento  nao  mudou nada vivo em tratamento  tomando  remedio e cada dia se torna pior eu tenho raiva de mim mesmo  nada pra mim presta tenho tudo mais no fim  nao  tenho  nada sou angustia  impaciente   com tudo tudo tenho filhos lindo um marido  que faz tudo pra  mim ums filho que sei que mim ama se preocupa com migo mais sou tipo uma lombriga com convusao  nada  presta nao  gosto nem d mim mesmo eu sinto que sou insuportavel  nao  amo a mim mesmo  entendi. ..";"s"
"pessoal, finalmente completei ontem, dia 27.01.18 um mes de escuta desse audio, o qual comprei via e-mail,junto com outros 4. justamente ontem, estava com amigos em uma casa de praia tocando violao e me divertindo...agora vamos ao que interessa... facam exatamente o que esta recomendado,ou seja, escutem o audio no minimo 2 vezes ao dia durante 30 dias. realmente funciona. minha ansiedade matinal e depressao praticamente sumiram. nao desistam facam todos os dias durante 30 dias e podem continuar,que e o que irei fazer. no comeco senti um pouco de tontura,mas depois vc acostuma. nos primeiros dias,parece que nada vai mudar,mas,acredite, nao desista.agradeco demais ao pessoal do canal.na minha opiniao,o grande segredo esta em voce nao desistir,fazer o que foi recomendado (ai esta o segredo) de fazer no minimo 2 a 3 vezes por dia durante 30 dias ou mais.pra quem nao sabe, tomar vitamina d3 10.000 u.i e fazer exercicios tambem contribuem para aumentar a serotonina e combater  a depressao. um abraco a todos e um otimo tratamento!!acredite, o sol brilhara de novo pra voce!!";"n"
"talvez esse video seja o mais pertinente para se pedir: curtiria muito uma analise do canal sobre essa segunda temporada de 13 reasons why. nao consegui ver tudo, achei forte pra caramba e, pelos comentarios do pessoal, nao tem nenhuma mensagem de conforto pra quem vive daquele jeito. (por que eu peco isso ao quadro em branco, se existem outros canais so sobre series?) simples: o canal e profundo, inteligente, sempre foge do obvio.";"n"
"estou muito grata pois esse som e ajudou bastante.  pois antigamente sofia com depressao e cheguei a tentar contra minha vida tomando chumbinho e pensei que tava furada ja faz uns 4 meses que to sentindo tudo de novo e uma vez so que eu vi esse som james sinto diferente me ajudou bastante pois ja tava com a sindrome de sair no meio da rua recomendo das pessoas so queria ficar dentro de casa nao queria fazer as coisas nao seria ficar deitada hoje a segundo dia estou ou vindo e me sinto muito bem... muito obg pois ja estava com medo de fazer o que fez no passado  atentar contra minha vida mais ouvido esse som nao sei o que aconteceu, esse ele me ajudou muito obg, obg, obg, obg, obg, deus  abencoe.";"s"
"obrigado, hj foi um dia dificil, conversei com a minha namorada sobre isso, pq eu perdi a vontade de fazee qualquer coisa e ja vim de um quadro de depressao, ela ta tentando me ajudar e a admiro muito por isso, da mesma forma que admiro vc por aparecer em um dia como e hj e me ajudar junto com ela a perceber que esse buraco continua aqui e quebeu preciso de ajuda.";"s"
"provavelmente ele esta sem acompanhamento de um psiquiatra e de um psicologo, a psiquiatria e a psicologia trabalham lado a lado, e isso e essencial para quem sofre de depressao, a medicacao ajuda e muito pra quem sofre dessa doenca, e sem ela as crises ficam muito piores dependendo do nivel da depressao!! e outra, infelizmente, nao tem cura para depressao, e uma doenca cronica que pode ser controlada!";"n"
"tenho 21 anos, sou diagnosticada com depressao, tomo remedios pro mesmo, faco tratamento com psiquiatra e psicologo e serio nada disso adianta, minha vida e resumida em ficar deitada o dia inteiro, passo meu tempo dormindo pra nao ter que ficar acordada, nao tenho animo pra nada, nada me motiva, pensamentos a mil, serio nao tenho mais prazer em viver minha vida ta se acabando aos poucos, e em breve vou estar em um lugar bem distante onde tudo isso que passo vai se acabar.";"s"
"nao e frescura, nao e bobagem, e uma angustia meio q sem motivo, voce fica triste, deprimido, arrasado, e quando voce se pergunta: qual o motivo?? e percebe que o motivo q voce procura nao existe, voce esta simplesmente morrendo por dentro, e sua mente nao da nenhuma explicacao por isso. foi e ainda esta sendo assim comigo, gracas a deus tudo ja ta passando e estou voltando ao normal.";"s"
"eu acho muito perigoso o fato das pessoas nao entenderem que o oposto da depressao nao e alegria, fazer piadas!  quem fala coisas que nos faz dar risada, nem sempre tem como objetivo apenas te fazer rir, e sim te fazer questionar. existe uma grande ligacao entre fazer muitas piadas, preencher toda sua fala com gargalhadas e desespero de um imenso sentimento de vazio.  vamos tornas as conversas menos superficiais e nos mostrar abertos para acolher quem possa estar sofrendo, pq raramente essa pessoa vai se sentir a vontade pra falar sobre isso, e um ambiente confortavel faz muita diferenca.";"n"
"oi oi!!! este som tambem pode ser ouvido por criancas? e ja agora voces tem algum som para crianca com defice de atencao, ou seja para aumentar a concentracao. e que o medico falou em dar ritalina pra minha filha so que antes eu queria procurar algo mais natural que podesse ajudar sem te k recorrer a ritalina. tem alguma dica ou algum sim que possa ajudar? obrigada";"n"
"eu sei como vc se sente, castanhari... eu tenho depressao e bipolaridade e ainda bem que voce descobriu no comeco. pq eu fui deixando ate que tive que sofrer duas intervencoes. infelizmente, e dificil pedir ajuda, pois acham que e frescura, mas nao! e nao culpo jim carrey pela a morte da ex dele. mas imagino a barra que ele esta. nao importa quem deixou de comprar o remedio, mas quem deixou estes remedios a vista. e isso nunca saberemos. tamo junto";"s"
"adorei o relato. eu fui diagnosticado com depressao, mas nao quis tomar remedio. minha depressao, se e que a tenho, e leve, pois continuo tocando a minha vida adiante, embora com dificuldade. tem sido dificil tomar decisoes e estou exatamente nessa situacao em que voce estava, i.e. sem emprego e tendo que decidir o que fazer da vida. penso em voltar a estudar para concursos, mas nao sei se terei paciencia para isso. acho que vou voltar a fazer terapia, pois nao estou saindo do lugar onde estou.";"s"
"tenho vontade de chorar sem motivos,tristeza, pensamentos negativos, gosto de ficar sozinho ,lugares apertados,fico na bad,agunia,aciedandade gosto de ficar as vezes no escuro  minha mae,vo ficam perguntando porque eu choro sem motivos e eu nao sei,quando minha familia tenta fazer eu rir eu tento nao sorrir,fico trancado no quarto no escuro no cell as vezes nem no cll eu to,e fico la,minha vo sofre por mim as vezes ela fica chorando vendo eu nesse estado o unico lugar que eu fico feliz um pouco e na escola e vcs tambem me  animam mto , entao tive vontade de contar pra pras outras pessoas obrigada por esse video nilce";"s"
"sobre o caso da jojo, nao e so ter cuidado. ela e, querendo ou nao, muito famosa e muito dessa fama veio por causa da comunidade lgbt. se ela quer mesmo ajudar a causa, precisa aprender sobre o movimento e o porque da nossa luta. falar que ama gays e que eles sao incriveis pra ganhar likes/money/views e a coisa mais facil do mundo pra quem tem alguma relevancia na midia, agora, se comprometer com o movimento e a comunidade ninguem quer. eu nao acho que ela fez por mal, so pegou o bonde andando. aposto que tem muito lgbt proximo a ela que pode ajuda-la com essas questoes.";"n"
"eu sempre ajudei muitos amigos e principalmente amigas com depressao sempre ajudei, que amo, ajudei muitos a parar de cortar seus pulsos, e acabei caindo na depressao, mas todos meu amigos tambem me ajudam, sempre me dao atencao e mtt abracos, e o tauz e vc agora com essas musicas me ajuda mtt o tauz sempre ouvi desde de 2015 com frases que motivao a ser mais forte, ate anime me mostrou a ser forte como naruto, uma historia de superacao incrivel, vmz com essa voz e ess flow incrivel que tem com essas frases, ajudam muito";"n"
"no final do segundo ano e inicio do terceiro ano eu entrei num estado de depressao q chegou ,penso eu, no apice q se chega. eu fiquei muito tempo com medo e vergonha, achei q n precisava de ajuda,ate q o suicidio comecou a ser uma opcao. gracas a deus me ajudaram antes q eu pudesse fazer essa besteira ,e hj tenho feito tratamento a entorno de 6 meses. tem dias que o buraco escuro e muito,muito desesperador, mas a empatia e coisas como esse video sao luzes q salvaram a minha vida e,tenho certeza, de muitos outros. eu n tenho palavras pra dizer o quao importante e ver alguem q eu admiro falando sobre esse assunto da maneira como foi feita e o quao bem faz pra mim e, espero eu, para muitos outros.muito obrigado nilce,todos os dias vc me da mais motivos pra achar esse o melhor canal do youtube.";"s"
"a geracao mimimi quer se mostrar interagida com alguma causa e so fala bosta! faz aqueles textao, tem certeza do que esta falando, nao aceita opinioes contrarias e acha que fala bonito! quem defende uma causa nao precisa mostrar o que pensa, porque mostrar o que pensa e so mais uma opiniao no meio de muitas. quem defende uma causa simplesmente vai la e faz!  tem gente que acredita que esta militando quando na verdade disfarca o preconceito em opinioes sem fundamento, se vitimiza e tem necessidade de auto afirmacao!  amo esse canal, voces sao top. amo as risadas do fih";"n"
"o que faz uma pessoa feliz nao e o momento em que se atinge o objetivo e sim o processo que levou a este fim. depressao e quando a pessoa nao encontra mais objetivos, ainda que existam lutas a serem travadas e, sem o processo, a vida fica cada vez mais vazia e sem sentido. depressao nada tem a ver com ter ou nao dinheiro, fama, beleza. ela atinge qualquer ser humano, pobre ou rico, feio ou bonito, famoso ou desconhecido e so quem passou ou passa por esse momento sabe a dificuldade que e pra sair. forca jim, vc tem muita historia a ser escrita.";"n"
"meu nome e pedro lucas e eu sofro de depressao por 8 anos tomos muitos remedios nao tenho muitos amigos mas tento fugir ser uma pessoal normal e e isso eu sei o que passa na cabeca de uma pessoa com depressao em todos que tem depressao nao se esconda va viver sua vida a minha nao da mais nao estudo e tudo isso para um menino de apenas 14 anos entao tchau";"s"
"se me permite, eu sou/fui uma destas pessoas.  sim isso e muito complicado, de se dizer...  e um buraco, uma escuridao que nao me permitia as vezes em pensar em nada, quando pensava era apenas em tristeza e culpa. ainda nao sei quando que comecou isto, mas atraves de uma discussao desencadeou. nisto fiquei 6 meses sem ver a luz, sem se quer sair do quarto, nao me alimentava direito.  tive 3 tentativas de suicidio, todas completamente interrompidas por algo ou alguem. uma delas foi minha mae que tirou a faca de meu pescoco, outra eu lutei contra o pensamento introduzido em minha mente, mas a ultima nao tenho explicacao. estava indo pra uma ponte perto de minha casa, depois de escutar minha mae me xingar. ja era noite, e quase no final do caminho eu fiquei com muito frio, sentei na calcada onde nao tinha uma pessoa passando, e dormi,(eu moro na bahia, entao frio aqui nao existe), acordei ainda sem nada na cabeca so com o pensamento da ponte, mas cheguei em ksa...  ainda tenho dificuldade de falar sobre o assunto.  algo que e necessario para aqueles que conhece alguem com depressao, entenda sobre o assunto, nao vai falando qualquer coisa, pois isso pode e vai piorar. as vezes, pra mim, so queria que alguem estivesse do meu lado, sem precisar falar uma palavra, ou ate mesmo um eu to aqui, bastava. mas eu nao tive isto, nem minha familia se prontificava, muito pelo contrario, so me acusava. meus amigos nunca vieram me ver, ou seja ainda nao sei como consegui dar a volta por cima.   e isso...";"s"
"nossa que video. eu estou passando por essa fase em minha vida, e parece que tudo desaba sobre voce. acabei tomando uma culpa por tudo que estava acontecendo de errado ao meu redor. fui dispensada do meu emprego, e sim eu nao estava produzindo o que eu produzia antes, mais sabe um sentimento que aquele lugar nao te cabe mais? entao eu estava sentindo isso, mais como qualquer fase da sua vida eu conheci pessoas nas quais vou levar sempre em meu coracao e outras que mi fizeram chorar e acabar contribuindo para que o final do poco chegasse mais rapido. hoje estou passando por um tratamento com medicamentos, e estou melhorando, nao estou 100% ainda e um pouco longe de chegar a isso, mais eu sei que isso e uma fase e quero levar aprendizado dela tenho fe em deus. quero agradecer por esse video que mi motivou a continuar tentando, pois tem dias que nao e facil e hoje erra um desses dias, e ao ver seu video mi enchi de esperanca e mi sentir muito motivada e o mais incrivel de tudo e que mi identifiquei com tudo que voce falou, pois voce sempre ouve fala sobre esse assunto de uma visao mais tecnica mais voce falou com o coracao e eu conseguir sentir isso. obrigada pelas palavras. espero que tenha mais assuntos sobre esse. beijosss...";"s"
"depois que comecei a escutar as tres vezes, percebi que minha ansiedade e tristeza foram super reduzidas. faz pouco tempo que comecei a escutar e ja vi resultado promissor. estou aliando isso a meditacao, exercicios fisicos, manutencao de dialogos, oracoes e leituras de bons livros. tudo isso junto esta me surpreendendo, pois estou dando saltos na minha saude emocional. tambem devemos esta cientes que o pensamento positivo, ou seja, acreditar que nos podemos sair do caos e  emocional essencial para a cura. tudo isso aliado nos fornece combustivel para seguir de cabeca erguida. uma hora ou outra isso vira habito, e o habito de esta bem e a propria cura.";"n"
"sao seis horas da manha e eu acordei olhos inchados, porque ontem eu chorei e o motivo disso tudo, eu ja nem sei apenas ja cheguei no ponto que me entreguei um turbilhao de pensamentos, eu tentei procurando o momento exato que errei  voce pergunta, sem ligar para a resposta eu finjo que estou bem e voce finge que se importa la fora, a chuva cai igual as minhas lagrimas o desespero vem bater na porta, minha lastima e la se esta minha nova chance de sorrir como um vaso de vidro, desequilibrar e cair  eu vejo o meu medo no espelho e pesadelo e me pergunto: ate quando eu irei resistir? me diz, se isso e precisar de atencao mas, no momento, eu to preferindo a solidao  nao ter palavras nem pra conseguir desabafar entao deixe-me provar o gosto amargo da escuridao a vida tem provado que eu nao sou capaz problemas movimentam tanto quanto um furacao  talvez, se eu nao vivesse, eu encontraria paz acalentar, sorrir, tentar viver esse perdao esse vazio no peito, cada vez aumenta mais o aperto mais profundo se encontra no coracao  se voce nao pode me ouvir eu gritarei da escuridao a cada lagrima a cair so me vera sumir, pra fugir da depressao  que fodaaaaa";"s"
"ai faltou a mais militante q eu respeito,a larissa,com 5 seg de celulite e o restante do clipe com  corpos sarados mas a dancarina gordinha ficou de fora,no vidigal,toda periferica toda trancada,mas nenhuma dancarina negra apareceu,dizem as mas linguas q a propria faz apropriacao e so se fantasia de nega pra lucrar,prq no dia a dia e  branca,acho muito exagero desse povo oprimido.";"n"
"oi, nil. eu tenho 19 anos e desde pequena apresentei disposicao a depressao. eu ja me auto mutilei, pensava em suicidio e tudo porque nao procurei ajuda quando devia. por muito tempo eu fiz piada sobre o que eu sentia no twitter, falando o famoso queria estar morta, tentando sempre ignorar que eu de fato sentia aquilo. eu sofri com bulimia quando era mais nova e desde entao minha saude ficou bem mal, e eu me sentia culpada por muitas coisas, coisas que muitas vezes nem estavam sobre meu alcance e era completamente irreal. eu fiz ensino medio no cefet e era muito puxado, e isso nao so me fez piorar como me fez desenvolver uma ansiedade ha muito tempo adormecida. depois de sofrer 2 assaltos em um ano de vestibular, tinha crises de panico toda noite e nao conseguia dormir, nao conseguia ir pra aula e quase reprovei o ultimo ano por falta (passei depois de muitos atestados medicos e reunioes com a orientadora da turma). eu ja tinha sofrido demais quando resolvi buscar ajuda, meu namorado foi um grande apoio pra mim e me incentivou cada vez mais a procura-la. e eu to aqui contando toda essa historia triste pra dizer que, cara, serio, nao faz que nem eu, nao espera. se vc ta sentindo uma tristeza, mesmo que vc ache q ela va ser passageira, vai num terapeuta. e bom que nem seja so pra conversar sobre a vida. eu tomo remedio pra ansiedade e ainda nao achei o certo pra depressao, e nao tenho conseguido terapia pq o plano de saude nao ajuda, mas se vc tem essa chance, vai. seriao. vai mesmo. ainda mais se vc se identificou nem que seja um pouquinho com o que eu disse. obrigada por tratar desse assunto, nil, vc e dez <3";"s"
"estou sofrendo muito. dei dicas o dia todo e ninguem veio me apoiar. nem meu irmao notou que estava chorando. ai entrei no youtube e uma pessoa desconhecida e sem saber do meu sofrimento postou um video sobre. nao vou dizer que estou melhor, mas obrigado. nao tenho coragem de enfrentar essa dor, nao tenho coragem de procurar ajuda, me sinto sozinho, e queria poder dar um fim nisso e nem coragem tenho. algo ainda me diz que tenho esperanca, mas porque ?! eu nao sei. so queria que alguem se importasse.";"s"
"muito bom o video, adoro o canal! outra representacao da depressao na saga harry potter sao os dementadores, e descrito que eles sugam toda sua felicidade ate a pessoa sentir-se vazia, a propria j.k. comenta que eles foram inspirados em sua propria depressao. alem disso, o feitico contra essas criaturas e o expecto patronum, uma magia de luz criada a partir de uma lembranca boa que pode der conjurado. e um momento muito bonito da saga.";"n"
"quando eu fiz uma cirurgia, logo depois que voltei ao colegio comecei a pensar que as pessoas estavam fazendo bullying comigo, nao queria ir para o colegio, fingia estar doente e no final de tudo falava que as meninas estavam zuando de mim e tudo parece que piorou quando eu tomei uma bolada na cara em uma atividade normal de colegio na qual as pessoas riram. foi ai que eu nao tive mais vontade de fazer nenhuma atividade fisica, nao sorria mais em nenhuma foto pq eu tinha os dentes muito tortos de uma outra historia que aconteceu no mesmo colegio, nao queria me enturmar com mais ninguem. comecei a ir no psicologo no mesmo ano e atualmente percebo que foi a melhor coisa da minha vida, eu conversava com ela e brincava, percebi que tinha alguem para me escutar. o tempo passou e faz dois anos que eu nao vou na psicologa por falta de dinheiro e tudo piorou muito. eu voltei a pensar que as pessoas falam de mim pelas costas, eu sinto muito estresse por causa da escola, peco todos os dias que aquele dia acabe logo, nao me sinto confortavel comigo mesma, combro muito de mim, nao quero sair com ninguem so ficar em casa deitada na cama e viver no twitter, e a parte mais legal disso tudo e que eu falo para a minha mae a um ano que eu quero voltar ao psicologo e ela finge que nao me escutou, eu vou desabafar com os meus amigos e eles mudam de assunto ou nem me escutam. eu to quase berrando para alguem me ajudar a tentar resolver meus problemas. eu nao sei se tenho depressao mas me identifiquei com varios problemas que aparecem em pessoas que tem a doenca. mas parece que eu grito por socorro para alguem me escutar. eu tenho tanta coisa guardada dentro de mim que parece que o meu cerebro vai explodir a qualquer momento. eu nao consigo mais aguentar essa vida, eu nao consigo mais aguentar as pessoas, eu nao consigo aguentar mais o mundo, eu so queria poder me livrar de tudo isso. acredite ou nao eu ja pensei bastante em suicidio mas ai vem a minha mae na minha mente chorando por mim, entao eu desisto. eu nao sei se alguem vai ler isso mas...";"s"
"o jim carrey e uma das pessoas que todo mundo quer ver muito bem por ser alguem fantastico que sempre faz todos rirem com suas piadas e com certeza os pais do jim carrey estao muito orgulhosos dele, uma pessoa que comecou uma carreia com stand up  e depois de alguns anos virou um ator tao grande e os filmes dele devem ter ajudado as pessoas a sairem da depressao e ate ganhado amigos mas eu quero guardar ele em um potinho e proteger ele de todo o mal do mundo.";"n"
"mulher e obrigada a ter cabelo longo. onde? haha eu tenho cabelo bem grande e ouco me mandarem cortar todo dia pq curto e mais bonito e pq a midia faz isso. cite uma cantora famosa que tem cabelo longo...nao tem. no meio da midia todo mundo corta o cabelo quando inicia e a luisa foi uma dessas. sem duvida foi pedido de empresario e tal... pq tbm na hora de cortar todo mundo se acha libertador mas pra fazer clipe e sair coloca extensao hahaha a luisa mesmo colocou hoje de manha.";"n"
"eu ja fiquei com depressao , foi em 2013 , onde todo mundo me botava apelido na escola , em 2012 achava muita frescura , mas nao gente , depressao e uma coisa  muito seria , quantos caso pessoas comd epre morreram? nao so no brasil mas no mundo todo , vc que acha que frescura, ja imagino fica no lugar que tem depre? acho que nao , entao pare e pense ante de falar  que depressao e frescura , o pior , e vc que n escolhe a depressao , a depressao escolhe vc... espero ter clarecido";"n"
"desenvolvi a depressao aos 15 anos, hoje vou fazer 18 e mes passado faz um ano que entrei em tratamento com remedio. ja cheguei perto de tentar suicidio diversas vezes porque ninguem parecia se importar comigo. eu me sentia inutil porque no 3 ano todo mundo estudava pro enem e eu ficava em casa vendo netflix porque nao conseguia me forcar a estudar. foi tao bom finalmente descobrir que nao era culpa minha de eu estar inutil, foi um enorme alivio. pouco a pouco estou me recuperando, e videos como os do cac que sao leves, ludicos e sobre dia a dia me ajudam pra caramba a distrair a cabeca de pensamentos ruins. obrigada pelo video, nilce, e por me ajudar todos os dias :d";"s"
"quase chorei com o video. nao e facil para quem tem depressao, ainda mais quando voce tenta pedir ajuda, para sair do fundo do mar, e ninguem ajuda. ja cansei de pedir ajuda, conselhos, implorei por psicologos para meus pais... o maximo que eles fazem e pedir para eu rezar a noite, que vai passar... e o mais frustante e que quando me pedem ajuda, nao importa quem seja, eu me desdobro para ajudar, mas nunca acontece o inverso... otimas palavras nilce!";"n"
"video foda mano. muito bom um dos melhores. se nao, seu melhor video. depressao e coisa seria mesmo. tem gente que nao conhece fala q e frescura e os religiosos falam que sao demonios. sou evangelico e estudo medicina. acredito que a depressao e um conjunto de fatores que prejudicam a vida de um ser humano. a cura esta em deus, nos remedios, na seriedade do tratamento. ta de parabens.. um grande abraco.";"n"
"um homem vai ao medico, diz que esta deprimido. diz que a vida parece dura e cruel. conta que se sente so num mundo ameacador onde o que se anuncia e vago e incerto.  o medico diz: o tratamento e simples. o grande palhaco pagliacci esta na cidade, assista ao espetaculo. isso deve anima-lo.  o homem se desfaz em lagrimas. e diz: mas, doutor... eu sou o pagliacci.   tao triste saber que esses atores que ja nos trouxeram tantas gargalhadas muitas vezes utilizam o humor como uma forma de bloqueio, uma tentativa de se confortar com todos os males dessa doenca. forca jim";"n"
"baah parabens cara!! o video ficou demais,e e realmente meio dificil de aceitar que pessoas tao bem sucedidas na vida tenham um caso de depressao, falo isso por imaginar os ganhos da vida dele com todos esses sucessos, mas nao conheco ele, nao sei como era seu dia a dia e depressao e realmente uma doenca foda, nao tem uma causa especifica. adoro teus videos, corajoso por se abrir numa comunidade que julga a tantos, parabens por tudo e so te desejo o melho!! beijao";"n"
"sempre soube que era depressiva mas a minha familia me dizia que e da minha cabeca e que eu estava bem. entao eu decidi nao falar mais sobre esse assunto e acabei guardando tudo para mim nestes ultimos anos. hoje tenho 19 anos e piorei  bastante, me sinto vazia, e nao consigo nem fingir que estou bem, na minha cabeca e tudo a preto e branco. sofro muito com isso, depressao nao se inventa e nao e brincadeira. forca para todos que estao passando por isso !";"s"
"nossa me emocionei castanhari. porque em 2013 meu melhor amigo saiu da minha casa e se jogou da ponte num lago, como ele nao sabia nadar, acabou sendo encontrado morto 3 dias depois. ele tinha depressao e foi muito foda. chorei em saber que ele passou por esse mesmo sofrimento com uma ex namorada. e duro demais. espero que ele possa ficar bem e vc tbm. tudo e melhor pra vc. ";"n"
"gente comecei este domingo. na segunda-feira a minha crise de panico veio enorme, mas nao desisti. fiz segunda e hoje. olha e fantastico. hoje eu nao tive crise alguma e depois de 5 meses com insonia pesada, eu dormi pela primeira vez antes das 23:00 a noite toda. acordei com disposicao para fazer exercicios fisicos e estou muito disposta mesmo! gratidao pela ajuda atraves de meios tao naturais. eu acredito plenamente na cura atraves destes meios. depois posto aqui como esta sendo o tratamento, pois ja fiz o desmame dos remedios a alguns meses por buscar estas alternativas naturais. ";"n"
